,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Finish_Time_ms,Track_Condition,Track_Temp,Humidity,Position,Track,Trk Length,Team_Name,Nationality
31,ducati,762.0,8.0,6.0,2016,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2557602.0,dry,36.0,37.0,2,jpn - twin ring motegi,4.8,ducati team,ita
32,ducati,920.0,10.0,5.0,2016,16.0,164.0,110.9,15.0,andrea dovizioso,12.598360655737705,2547333.0,wet,28.0,97.0,1,mal - sepang international circuit,5.5,ducati team,ita
33,ducati,876.0,5.0,9.0,2016,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2772645.0,dry,25.0,42.0,7,val - circuit ricardo tormo,4.0,ducati team,ita
34,ducati,1068.0,10.0,6.0,2015,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2555891.0,dry,28.0,83.0,2,qat - losail international circuit,5.4,ducati team,ita
35,ducati,1200.0,9.0,11.0,2015,15.0,158.4,110.3,20.0,andrea dovizioso,12.598360655737705,2629504.0,dry,36.0,62.0,2,ame - circuit of the americas,5.5,ducati team,ita
36,ducati,1076.0,9.0,5.0,2015,16.0,172.7,120.2,14.0,andrea dovizioso,12.598360655737705,2501329.0,dry,36.0,71.0,2,arg - termas de río hondo,4.8,ducati team,ita
37,ducati,607.0,8.0,6.0,2015,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2739179.0,dry,30.0,41.0,9,spa - circuito de jerez,4.4,ducati team,ita
38,ducati,674.0,9.0,5.0,2015,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,2636523.0,dry,32.0,45.0,3,fra - le mans,4.2,ducati team,ita
39,ducati,487.0,12.0,6.0,2015,14.0,173.1,118.1,18.0,andrea dovizioso,12.598360655737705,2483455.0,dry,30.0,66.0,12,ned - tt circuit assen,4.5,ducati team,ita
40,ducati,636.0,8.0,6.0,2015,15.0,165.5,113.5,14.0,andrea dovizioso,12.598360655737705,2588767.0,dry,39.0,54.0,6,cze - automotodrom brno,5.4,ducati team,ita
41,ducati,530.0,10.0,6.0,2015,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2941253.0,dry,31.0,34.0,8,rsm - misano world circuit marco simoncelli,4.2,ducati team,ita
42,ducati,968.0,7.0,10.0,2015,15.0,167.0,116.8,17.0,andrea dovizioso,12.598360655737705,2529255.0,dry,39.0,50.0,5,ara - motorland aragón,5.1,ducati team,ita
43,ducati,762.0,8.0,6.0,2015,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2845852.0,wet,21.0,93.0,5,jpn - twin ring motegi,4.8,ducati team,ita
44,ducati,876.0,5.0,9.0,2015,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2788250.0,dry,29.0,63.0,7,val - circuit ricardo tormo,4.0,ducati team,ita
45,ducati,1068.0,10.0,6.0,2014,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2572720.0,dry,18.0,60.0,5,qat - losail international circuit,5.4,ducati team,ita
46,ducati,1200.0,9.0,11.0,2014,15.0,158.4,110.3,20.0,andrea dovizioso,12.598360655737705,2634406.0,dry,32.0,71.0,3,ame - circuit of the americas,5.5,ducati team,ita
47,ducati,1076.0,9.0,5.0,2014,16.0,172.7,120.2,14.0,andrea dovizioso,12.598360655737705,2533494.0,dry,37.0,60.0,9,arg - termas de río hondo,4.8,ducati team,ita
48,ducati,607.0,8.0,6.0,2014,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2751628.0,dry,50.0,25.0,5,spa - circuito de jerez,4.4,ducati team,ita
49,ducati,674.0,9.0,5.0,2014,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,2666028.0,dry,42.0,35.0,8,fra - le mans,4.2,ducati team,ita
50,ducati,1047.0,8.0,6.0,2014,12.0,164.4,111.0,14.0,andrea dovizioso,12.598360655737705,2593089.0,dry,34.0,61.0,8,cat - circuit de barcelona-catalunya,4.6,ducati team,ita
51,ducati,487.0,12.0,6.0,2014,14.0,173.1,118.1,18.0,andrea dovizioso,12.598360655737705,2616668.0,wet,25.0,69.0,2,ned - tt circuit assen,4.5,ducati team,ita
52,ducati,700.0,3.0,10.0,2014,12.0,160.6,110.1,13.0,andrea dovizioso,12.598360655737705,2541532.0,wet-dry,27.0,66.0,8,ger - sachsenring,3.7,ducati team,ita
53,ducati,636.0,8.0,6.0,2014,15.0,165.5,113.5,14.0,andrea dovizioso,12.598360655737705,2585634.0,dry,23.0,71.0,6,cze - automotodrom brno,5.4,ducati team,ita
54,ducati,530.0,10.0,6.0,2014,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2660096.0,dry,37.0,45.0,4,rsm - misano world circuit marco simoncelli,4.2,ducati team,ita
55,ducati,762.0,8.0,6.0,2014,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2555612.0,dry,27.0,57.0,5,jpn - twin ring motegi,4.8,ducati team,ita
56,ducati,920.0,10.0,5.0,2014,16.0,164.0,110.9,15.0,andrea dovizioso,12.598360655737705,2494362.0,dry,54.0,50.0,8,mal - sepang international circuit,5.5,ducati team,ita
57,ducati,876.0,5.0,9.0,2014,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2816332.0,dry,22.0,45.0,4,val - circuit ricardo tormo,4.0,ducati team,ita
58,ducati,1068.0,10.0,6.0,2013,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2584157.0,dry,23.0,66.0,7,qat - losail international circuit,5.4,ducati team,ita
59,ducati,1200.0,9.0,11.0,2013,15.0,158.4,110.3,20.0,andrea dovizioso,12.598360655737705,2644497.0,dry,38.0,46.0,7,ame - circuit of the americas,5.5,ducati team,ita
60,ducati,607.0,8.0,6.0,2013,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2759513.0,dry,47.0,38.0,8,spa - circuito de jerez,4.4,ducati team,ita
61,ducati,674.0,9.0,5.0,2013,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,2967794.0,wet,18.0,93.0,4,fra - le mans,4.2,ducati team,ita
62,ducati,1047.0,8.0,6.0,2013,12.0,164.4,111.0,14.0,andrea dovizioso,12.598360655737705,2619171.0,dry,52.0,29.0,7,cat - circuit de barcelona-catalunya,4.6,ducati team,ita
63,ducati,487.0,12.0,6.0,2013,14.0,173.1,118.1,18.0,andrea dovizioso,12.598360655737705,2519003.0,dry,18.0,49.0,10,ned - tt circuit assen,4.5,ducati team,ita
